Question,Answer,Links
What is the difference between absolute and relative file paths?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
What is the difference between absolute and relative paths?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"In terminal, what are absolute and relative paths?","When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
How do absolute and relative file paths differ from each other?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
How are absolute and relative file paths distinct from one another?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
What makes absolute and relative file paths unique from each other?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
How do absolute and relative file paths differ in their functionality?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
What is a relative path?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
What is an absolute path?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
Where are files located?,"When we specify a file or directory on the command line (in the terminal, that is, in the shell) we can do so in two ways.  We can give the name in a form that is always going to be the same, regardless of what we have done before, like this:

   ~/sd

In this pathname, we are using the ~ to represent the (absolute) path to the home directory, and then, within that, we are referring to the sd subdirectory.  Some other examples of absolute pathnames would be:

  ~/sd/hw01/daily.cpp
  ~/cs2
  /usr/local/cs/cs251

Anything that starts with ~ or / will be an absolute pathname.

On the other hand, we can also specify relative path names, that is, names that are relative to our current location in the file system.  Say for example that, when we first logged in, we want to go to our hw01 directory, like this (using an absolute pathname):

  cd ~/sd/hw01

If we wanted to go to the hw02 directory, we could do so with a relative pathname like this:

  cd ../hw02

The .. means the parent directory, which, in this case, is the sd directory, and the hw02 subdirectory is assumed to be inside it.  From there, if we wanted to go to the cs2 directory, we could use another relative pathname, like this:

  cd ../../cs2

In this case, the parent of the parent of the current directory is the home directory, and the cs2 directory is found within it.

If we say something like:

  cd sd

Then that is a relative pathname, so it will only work if we are already in a directory that has a subdirectory named sd.  So if we are in the home directory, the command ""cd sd"" will work fine, but otherwise not.
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
What does the ls terminal command do?,"ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"Could you explain the functionality of the ""ls"" command in the terminal?","ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"What is the purpose and operation of the ""ls"" terminal command?","ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"What information does the ""ls"" command provide, and how is it executed in the terminal?","ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"In the terminal, what is the role and output of the ""ls"" command?","ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
What does ls mean?,"ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
What does ls do in terminal?,"ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"What actions does the ""ls"" command perform?","ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"What does the ""ls"" command does when used in the terminal?","ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
"How is the ""ls"" command applied in the terminal, and what results does it yield?","ls - lists all the items in the current directory, including files and subdirectories.
In addition, ls -l allows you to see more information about each file and directory in the current directory, such as owner and group privileges. ls -a shows hidden files and directories. (Note you can combine flags, so you could use ls -al to list all files (including hidden ones) with additional information).
",https://docs.google.com/document/d/1Q88CPfiaT9wQDFmzNn0LSgce-LcGY_seMmcpZLWCEKY/edit?usp=sharing
